Id,Label,cell_class,name,nt_type,primary_type,side,super_class
720575940635183728,FB.1363,CX,FB.1363,unknown,FS2,left,central
720575940628793982,FB.3,CX,FB.3,GABA,FB5A,left,central
720575940625156745,SMP.1228,CX,SMP.1228,GLUT,FB8F_a,left,central
720575940626500233,FB.986,CX,FB.986,ACH,FS3,left,central
720575940615965323,FB.616,CX,FB.616,ACH,vDeltaI_a,right,central
720575940641557133,FB.877,CX,FB.877,ACH,FC2C,left,central
720575940613606041,FB.246,CX,FB.246,GLUT,FB5Y,right,central
720575940633021084,NO.FB.73,CX,NO.FB.73,ACH,PFNp,left,central
720575940614294175,FB.908,CX,FB.908,ACH,FS2,left,central
720575940654008993,NO.FB.63,CX,NO.FB.63,ACH,PFNm,right,central
720575940635462318,NO.171,CX,NO.171,unknown,PFNm,left,central
720575940614736559,SMP.FB.18,CX,SMP.FB.18,GLUT,FB7A,left,central
720575940637477565,FB.798,CX,FB.798,ACH,FC3,left,central
720575940632988351,EB.93,CX,EB.93,GABA,ER2,right,central
720575940633676479,FB.513,CX,FB.513,GLUT,FB8C,left,central
720575940621765313,FB.250,CX,FB.250,unknown,FB4K,right,central
720575940627385031,NO.FB.19,CX,NO.FB.19,ACH,PFNd,right,central
720575940615654100,NO.FB.41,CX,NO.FB.41,ACH,PFNd,left,central
720575940616440537,FB.660,CX,FB.660,GLUT,FB2F_c,right,central
720575940622994151,FB.1202,CX,FB.1202,unknown,vDeltaI_b,left,central
720575940636330729,FB.998,CX,FB.998,ACH,FC1C,right,central
720575940618963694,FB.693,CX,FB.693,ACH,FC3,right,central
720575940619668206,FB.423,CX,FB.423,GLUT,FB1D,left,central
720575940623436531,FB.1172,CX,FB.1172,GLUT,FB9B,right,central
720575940628990713,FB.702,CX,FB.702,ACH,vDeltaG,right,central
720575940628073235,FB.1163,CX,FB.1163,GLUT,SA1,right,central
720575940626090782,FB.767,CX,FB.767,GLUT,FB8G,right,central
720575940616571682,NO.152,CX,NO.152,ACH,PFNm,right,central
720575940643703588,FB.198,CX,FB.198,ACH,hDeltaC,left,central
720575940632496938,FB.752,CX,FB.752,unknown,FB4B,right,central
720575940617784118,FB.159,CX,FB.159,ACH,hDeltaB,left,central
720575940629957432,FB.1354,CX,FB.1354,GLUT,FB9B,right,central
720575940637969222,SLP.FB.5,CX,SLP.FB.5,GLUT,FB8F_b,right,central
720575940631366483,FB.310,CX,FB.310,ACH,hDeltaC,right,central
720575940621765467,CRE.FB.10,CX,CRE.FB.10,GLUT,FB5V,right,central
720575940637625203,FB.1187,CX,FB.1187,ACH,vDeltaL,right,central
720575940620028795,FB.MB_ML.4,CX,FB.MB_ML.4,unknown,PFR,right,central
720575940619832188,FB.1009,CX,FB.1009,ACH,vDeltaL,right,central
720575940619766655,FB.1159,CX,FB.1159,ACH,vDeltaA_a,right,central
720575940654697377,FB.619,CX,FB.619,unknown,FB4E,left,central
720575940613704615,FB.224,CX,FB.224,GLUT,FB2H_a,left,central
720575940628843458,EB.9,CX,EB.9,ACH,EPG,right,central
720575940614966214,FB.285,CX,FB.285,ACH,hDeltaC,right,central
720575940611181518,FB.MB_ML.9,CX,FB.MB_ML.9,unknown,PFR,right,central
720575940632677331,FB.1274,CX,FB.1274,GLUT,FB9C,right,central
720575940618734575,FB.1231,CX,FB.1231,ACH,vDeltaJ,right,central
720575940628352000,FB.1335,CX,FB.1335,unknown,FS3,right,central
720575940626205702,FB.1098,CX,FB.1098,unknown,vDeltaB,right,central
720575940621749261,PB.FB.9,CX,PB.FB.9,ACH,PFNd,left,central
720575940624583708,FB.654,CX,FB.654,ACH,vDeltaI_a,right,central
720575940630580255,FB.914,CX,FB.914,ACH,vDeltaK,right,central
720575940604709920,FB.209,CX,FB.209,ACH,FC2A,left,central
720575940644047908,FB.483,CX,FB.483,GLUT,FB4F_a,right,central
720575940625796133,FB.196,CX,FB.196,GLUT,FB5O,right,central
720575940621585446,FB.1252,CX,FB.1252,ACH,vDeltaM,left,central
